path,width,height,mode,review
previews/contact-sheets/finalist-contact-sheet.png,1440,530,RGBA,NO ADS: VERIFIED
previews/contact-sheets/light-dark-launcher-icons.png,960,630,RGBA,NO ADS: VERIFIED
previews/launcher-dark/production-dark.png,720,640,RGBA,NO ADS: VERIFIED
previews/launcher-light/production-light.png,720,640,RGBA,NO ADS: VERIFIED
previews/masks/production-mask-sheet.png,1250,970,RGBA,NO ADS: VERIFIED
previews/small-sizes/production-blur-test.png,1360,460,RGBA,NO ADS: VERIFIED
previews/small-sizes/production-small-sizes.png,1040,610,RGBA,NO ADS: VERIFIED
previews/splash/android-12-splash-preview.png,1400,760,RGBA,NO ADS: VERIFIED
previews/themed-icons/color-vision-simulations.png,1440,520,RGBA,NO ADS: VERIFIED
previews/themed-icons/production-themed-icons.png,1440,520,RGBA,NO ADS: VERIFIED
production/adaptive/quietpdf-adaptive-background-432.png,432,432,RGBA,NO ADS: VERIFIED
production/adaptive/quietpdf-adaptive-background.svg,,,,NO ADS: VERIFIED
production/adaptive/quietpdf-adaptive-foreground-432.png,432,432,RGBA,NO ADS: VERIFIED
production/adaptive/quietpdf-adaptive-foreground.svg,,,,NO ADS: VERIFIED
production/legacy/ic_launcher-hdpi.png,72,72,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher-mdpi.png,48,48,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher-xhdpi.png,96,96,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher-xxhdpi.png,144,144,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher-xxxhdpi.png,192,192,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark-hdpi.png,72,72,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark-mdpi.png,48,48,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark-xhdpi.png,96,96,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark-xxhdpi.png,144,144,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark-xxxhdpi.png,192,192,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark_round-hdpi.png,72,72,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark_round-mdpi.png,48,48,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark_round-xhdpi.png,96,96,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark_round-xxhdpi.png,144,144,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_dark_round-xxxhdpi.png,192,192,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_round-hdpi.png,72,72,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_round-mdpi.png,48,48,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_round-xhdpi.png,96,96,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_round-xxhdpi.png,144,144,RGBA,NO ADS: VERIFIED
production/legacy/ic_launcher_round-xxxhdpi.png,192,192,RGBA,NO ADS: VERIFIED
production/monochrome/quietpdf-monochrome-432.png,432,432,RGBA,NO ADS: VERIFIED
production/monochrome/quietpdf-monochrome.svg,,,,NO ADS: VERIFIED
production/play-store/quietpdf-play-icon-512.png,512,512,RGBA,NO ADS: VERIFIED
production/source-svg/quietpdf-document-q.svg,,,,NO ADS: VERIFIED
production/theme-variants/quietpdf-dark-launcher-512.png,512,512,RGBA,NO ADS: VERIFIED
qa/similarity-review.md,,,,NO ADS: VERIFIED
qa/technical-validation.md,,,,NO ADS: VERIFIED
qa/visual-validation.md,,,,NO ADS: VERIFIED
research/candidate-scorecard.md,,,,NO ADS: VERIFIED
research/competitor-icon-audit.md,,,,NO ADS: VERIFIED
research/conversion-experiment-plan.md,,,,NO ADS: VERIFIED
research/existing-icon-audit.md,,,,NO ADS: VERIFIED
